ID,Status
100004371583,Missing in Proc_ID (transactions_BIQ.csv)
100004371585,Missing in Proc_ID (transactions_BIQ.csv)
100004371586,Missing in Proc_ID (transactions_BIQ.csv)
100004371587,Missing in Proc_ID (transactions_BIQ.csv)
100004371588,Missing in Proc_ID (transactions_BIQ.csv)
100004371606,Missing in Proc_ID (transactions_BIQ.csv)
100004371607,Missing in Proc_ID (transactions_BIQ.csv)
100004371610,Missing in Proc_ID (transactions_BIQ.csv)
100004371612,Missing in SourceTransactionID (source_transactions.csv)
100004371613,Missing in SourceTransactionID (source_transactions.csv)
100004371622,Missing in SourceTransactionID (source_transactions.csv)
100004371623,Missing in SourceTransactionID (source_transactions.csv)
100004371624,Missing in SourceTransactionID (source_transactions.csv)
100004371626,Missing in SourceTransactionID (source_transactions.csv)
100004371652,Missing in SourceTransactionID (source_transactions.csv)
100004371966,Missing in SourceTransactionID (source_transactions.csv)
